"","LULM","CLIM","LakeID","Year","DDL","DDLareal","TotLoad","TP","Chl","Secchi","Hyper","Pexport"
"1",1,1,1,2014,19957,0.405300568643379,19957,0.0337851608255994,9.16821621576338,1.6098185735141,0.0634220508021548,8321.85092816869
"2",1,1,1,2015,21079,0.428086921202275,21079,0.0346465489175995,9.55061752283514,1.59602043727088,0.0687322781110837,8074.42706661408
"3",1,1,1,2016,20745,0.421303818034119,20745,0.034387857759163,9.43495625379278,1.60011549487416,0.0671098673250196,7692.53742004653
"4",1,1,1,2017,68080,1.38261575954509,68080,0.0994692778367769,46.6875087484209,1.11283784982053,0.731088420126836,18573.4700030445
"5",1,1,1,2018,56521,1.14786758732738,56521,0.0767441830992219,33.5207258426361,1.21603559230233,0.528271528258505,17354.6755004549
"6",1,1,1,2019,45135,0.916632818846466,45135,0.0594412414093988,22.9976160124851,1.32704072661175,0.318545659124309,15286.2195117839
"7",1,1,1,2020,46605,0.946486596263201,46605,0.0614346167703475,24.2003907572102,1.31215831129615,0.343515370528446,15640.3245689111
"8",1,1,1,2021,40563,0.823781478472786,40563,0.0536455026198236,19.5576022283344,1.3744156141943,0.247631956083923,14281.141658694
"9",1,1,1,2022,28665,0.58214865962632,28665,0.0410758194108263,12.6341599429503,1.50578172114552,0.116681370722021,11321.6811160919
"10",1,1,1,2023,42752,0.868237205523964,42752,0.0563462893406478,21.1480291516482,1.35152588630748,0.280231067251296,14098.6285054682
"11",1,1,1,2024,76762,1.5589358245329,76762,0.120863686807526,57.6164662107394,1.04112675480537,0.841087078658136,22205.4400524439
"12",1,1,1,2025,39399,0.800142160844842,39399,0.0522624823289938,18.753751168573,1.38674468248925,0.231368843854851,14711.8671611876
"13",1,1,1,2026,26391,0.535966693744923,26391,0.0390324579733418,11.6128977137035,1.53228288788078,0.0998648086117803,11220.3067231536
"14",1,1,1,2027,30423,0.61785134037368,30423,0.0427285449946069,13.4854444846171,1.48560856221782,0.13131925277302,11419.4926937302
"15",1,1,1,2028,36134,0.733834281072299,36134,0.0485704709274557,16.6507818890472,1.42192089308657,0.189828033364913,12397.19331249
"16",1,1,1,2029,65500,1.3302193338749,65500,0.0938742828541767,43.5760535445699,1.13508505618164,0.690441312761947,19236.1822441731
"17",1,1,1,2030,67255,1.3658610885459,67255,0.0976448326681224,45.6837563510239,1.11990394601154,0.718462508993049,20631.8961247254
"18",1,1,1,2031,71705,1.45623476848091,71705,0.107898378160062,51.1817311078504,1.08231442819034,0.78216114600602,22395.8544290368
"19",1,1,1,2032,29343,0.595917952883834,29343,0.0417055071747764,12.9559368047578,1.4979693799572,0.122151193201204,13102.6808983749
"20",1,1,1,2033,14456,0.293582453290008,14456,0.0298619558876051,7.52925979676255,1.67921449892801,0.042512123985886,8576.93162167992
"21",1,1,1,2034,20504,0.416409423233144,20504,0.0342023978850129,9.35246772580545,1.60307683628145,0.0659613560348937,8785.58274321823
"22",1,1,1,2035,49506,1.00540211210398,49506,0.0655667504372545,26.7120994066604,1.28327623397487,0.395304670628036,14982.0974319142
"23",1,1,1,2036,23660,0.480503655564582,23660,0.036712339385156,10.4987265186479,1.56472707963062,0.0825432806615347,9521.43529775309
"24",1,1,1,2037,62485,1.26898862713241,62485,0.0877334454864691,40.0534768538861,1.16164743158116,0.638956141307379,18130.9464601689
"25",1,1,1,2038,34352,0.697644191714054,34352,0.0466666433130535,15.5949519872717,1.44149463488177,0.169684581812347,12547.4940305137
"26",1,1,1,2039,12720,0.258326563769293,12720,0.0287210804216567,7.08578449036955,1.70172938781725,0.0374085255574986,7183.11647425532
"27",1,1,1,2040,21595,0.438566206336312,21595,0.0350500343814634,9.73240259721905,1.5897145337515,0.071310281572866,8319.46730635933
"28",1,1,1,2041,12411,0.252051177904143,12411,0.0285226281581878,7.01022373451185,1.70576846741192,0.0365640445605676,5839.95899281612
"29",1,1,1,2042,36704,0.745410235580829,36704,0.0491956854129797,17.002035507319,1.4157162106019,0.196645933291129,10998.3106390995
"30",1,1,1,2043,17033,0.345917952883834,17033,0.0316396264173094,8.25049718099571,1.64634046895947,0.0513300086979943,6866.56910545396
"31",1,1,1,2044,16591,0.336941510966694,16591,0.0313273758169535,8.12119312811745,1.65193285366892,0.0497033916315485,6405.02126738231
"32",1,1,1,2045,51105,1.03787571080422,51105,0.0679619856594447,28.1740815103674,1.26762941862033,0.4249773576985,14240.3258891268
"33",1,1,1,2046,24557,0.498720552396426,24557,0.0374587607420512,10.8516619277831,1.55399568800385,0.0879076789554306,9038.03338423546
